교통수단별,기준연월,목적,성별,연령,인원수
기타공항,2023-08-31,관광,남성,20세 이하,1049
기타항구,2023-08-31,관광,남성,20세 이하,891
김포,2023-08-31,관광,남성,20세 이하,4648
김해,2023-08-31,관광,남성,20세 이하,5018
부산,2023-08-31,관광,남성,20세 이하,1809
인천,2023-08-31,관광,남성,20세 이하,51
인천공항,2023-08-31,관광,남성,20세 이하,43449
제주공항,2023-08-31,관광,남성,20세 이하,5878
제주항,2023-08-31,관광,남성,20세 이하,7
기타공항,2023-08-31,관광,남성,21~30세,537
기타항구,2023-08-31,관광,남성,21~30세,220
김포,2023-08-31,관광,남성,21~30세,4432
김해,2023-08-31,관광,남성,21~30세,4417
부산,2023-08-31,관광,남성,21~30세,959
인천,2023-08-31,관광,남성,21~30세,38
인천공항,2023-08-31,관광,남성,21~30세,46073
제주공항,2023-08-31,관광,남성,21~30세,4971
제주항,2023-08-31,관광,남성,21~30세,8
기타공항,2023-08-31,관광,남성,31~40세,567
기타항구,2023-08-31,관광,남성,31~40세,440
김포,2023-08-31,관광,남성,31~40세,5654
김해,2023-08-31,관광,남성,31~40세,4850
부산,2023-08-31,관광,남성,31~40세,802
인천,2023-08-31,관광,남성,31~40세,148
인천공항,2023-08-31,관광,남성,31~40세,45097
제주공항,2023-08-31,관광,남성,31~40세,5460
제주항,2023-08-31,관광,남성,31~40세,5
기타공항,2023-08-31,관광,남성,41~50세,692
기타항구,2023-08-31,관광,남성,41~50세,704
김포,2023-08-31,관광,남성,41~50세,6869
김해,2023-08-31,관광,남성,41~50세,5306
부산,2023-08-31,관광,남성,41~50세,1117
인천,2023-08-31,관광,남성,41~50세,203
인천공항,2023-08-31,관광,남성,41~50세,40166
제주공항,2023-08-31,관광,남성,41~50세,3354
제주항,2023-08-31,관광,남성,41~50세,8
기타공항,2023-08-31,관광,남성,51~60세,474
기타항구,2023-08-31,관광,남성,51~60세,573
김포,2023-08-31,관광,남성,51~60세,5724
김해,2023-08-31,관광,남성,51~60세,3969
부산,2023-08-31,관광,남성,51~60세,1280
인천,2023-08-31,관광,남성,51~60세,247
인천공항,2023-08-31,관광,남성,51~60세,29737
제주공항,2023-08-31,관광,남성,51~60세,2014
제주항,2023-08-31,관광,남성,51~60세,9
기타공항,2023-08-31,관광,남성,61세이상,274
기타항구,2023-08-31,관광,남성,61세이상,976
김포,2023-08-31,관광,남성,61세이상,2959
김해,2023-08-31,관광,남성,61세이상,3087
부산,2023-08-31,관광,남성,61세이상,4517
인천,2023-08-31,관광,남성,61세이상,141
인천공항,2023-08-31,관광,남성,61세이상,16455
제주공항,2023-08-31,관광,남성,61세이상,1529
제주항,2023-08-31,관광,남성,61세이상,97
기타공항,2023-08-31,관광,여성,20세 이하,1205
기타항구,2023-08-31,관광,여성,20세 이하,839
김포,2023-08-31,관광,여성,20세 이하,9853
김해,2023-08-31,관광,여성,20세 이하,6915
부산,2023-08-31,관광,여성,20세 이하,1962
인천,2023-08-31,관광,여성,20세 이하,65
인천공항,2023-08-31,관광,여성,20세 이하,71749
제주공항,2023-08-31,관광,여성,20세 이하,8139
제주항,2023-08-31,관광,여성,20세 이하,5
기타공항,2023-08-31,관광,여성,21~30세,1044
기타항구,2023-08-31,관광,여성,21~30세,165
김포,2023-08-31,관광,여성,21~30세,12878
김해,2023-08-31,관광,여성,21~30세,7417
부산,2023-08-31,관광,여성,21~30세,1095
인천,2023-08-31,관광,여성,21~30세,30
인천공항,2023-08-31,관광,여성,21~30세,110692
제주공항,2023-08-31,관광,여성,21~30세,15478
제주항,2023-08-31,관광,여성,21~30세,9
기타공항,2023-08-31,관광,여성,31~40세,881
기타항구,2023-08-31,관광,여성,31~40세,412
김포,2023-08-31,관광,여성,31~40세,9078
김해,2023-08-31,관광,여성,31~40세,5788
부산,2023-08-31,관광,여성,31~40세,956
인천,2023-08-31,관광,여성,31~40세,81
인천공항,2023-08-31,관광,여성,31~40세,66373
제주공항,2023-08-31,관광,여성,31~40세,10535
제주항,2023-08-31,관광,여성,31~40세,13
기타공항,2023-08-31,관광,여성,41~50세,1264
기타항구,2023-08-31,관광,여성,41~50세,749
김포,2023-08-31,관광,여성,41~50세,8948
김해,2023-08-31,관광,여성,41~50세,6982
부산,2023-08-31,관광,여성,41~50세,1609
인천,2023-08-31,관광,여성,41~50세,136
인천공항,2023-08-31,관광,여성,41~50세,56706
제주공항,2023-08-31,관광,여성,41~50세,5306
제주항,2023-08-31,관광,여성,41~50세,10
기타공항,2023-08-31,관광,여성,51~60세,691
기타항구,2023-08-31,관광,여성,51~60세,771
김포,2023-08-31,관광,여성,51~60세,6796
김해,2023-08-31,관광,여성,51~60세,4971
부산,2023-08-31,관광,여성,51~60세,1864
인천,2023-08-31,관광,여성,51~60세,217
인천공항,2023-08-31,관광,여성,51~60세,38997
제주공항,2023-08-31,관광,여성,51~60세,3375
제주항,2023-08-31,관광,여성,51~60세,24
기타공항,2023-08-31,관광,여성,61세이상,439
기타항구,2023-08-31,관광,여성,61세이상,1027
김포,2023-08-31,관광,여성,61세이상,3116
김해,2023-08-31,관광,여성,61세이상,3361
부산,2023-08-31,관광,여성,61세이상,5780
인천,2023-08-31,관광,여성,61세이상,144
인천공항,2023-08-31,관광,여성,61세이상,19969
제주공항,2023-08-31,관광,여성,61세이상,2474
제주항,2023-08-31,관광,여성,61세이상,116
기타공항,2023-09-30,관광,남성,20세 이하,504
기타항구,2023-09-30,관광,남성,20세 이하,217
김포,2023-09-30,관광,남성,20세 이하,1867
김해,2023-09-30,관광,남성,20세 이하,2069
부산,2023-09-30,관광,남성,20세 이하,451
인천,2023-09-30,관광,남성,20세 이하,60
인천공항,2023-09-30,관광,남성,20세 이하,21259
제주공항,2023-09-30,관광,남성,20세 이하,2047
제주항,2023-09-30,관광,남성,20세 이하,177
기타공항,2023-09-30,관광,남성,21~30세,795
기타항구,2023-09-30,관광,남성,21~30세,327
김포,2023-09-30,관광,남성,21~30세,4945
김해,2023-09-30,관광,남성,21~30세,5154
부산,2023-09-30,관광,남성,21~30세,770
인천,2023-09-30,관광,남성,21~30세,129
인천공항,2023-09-30,관광,남성,21~30세,56215
제주공항,2023-09-30,관광,남성,21~30세,6579
제주항,2023-09-30,관광,남성,21~30세,124
기타공항,2023-09-30,관광,남성,31~40세,900
기타항구,2023-09-30,관광,남성,31~40세,509
김포,2023-09-30,관광,남성,31~40세,6980
김해,2023-09-30,관광,남성,31~40세,6554
부산,2023-09-30,관광,남성,31~40세,740
인천,2023-09-30,관광,남성,31~40세,369
인천공항,2023-09-30,관광,남성,31~40세,62052
제주공항,2023-09-30,관광,남성,31~40세,5767
제주항,2023-09-30,관광,남성,31~40세,290
기타공항,2023-09-30,관광,남성,41~50세,715
기타항구,2023-09-30,관광,남성,41~50세,574
김포,2023-09-30,관광,남성,41~50세,6560
김해,2023-09-30,관광,남성,41~50세,5565
부산,2023-09-30,관광,남성,41~50세,825
인천,2023-09-30,관광,남성,41~50세,625
인천공항,2023-09-30,관광,남성,41~50세,40116
제주공항,2023-09-30,관광,남성,41~50세,2484
제주항,2023-09-30,관광,남성,41~50세,221
기타공항,2023-09-30,관광,남성,51~60세,601
기타항구,2023-09-30,관광,남성,51~60세,833
김포,2023-09-30,관광,남성,51~60세,5538
김해,2023-09-30,관광,남성,51~60세,5060
부산,2023-09-30,관광,남성,51~60세,1311
인천,2023-09-30,관광,남성,51~60세,897
인천공항,2023-09-30,관광,남성,51~60세,32569
제주공항,2023-09-30,관광,남성,51~60세,1992
제주항,2023-09-30,관광,남성,51~60세,263
기타공항,2023-09-30,관광,남성,61세이상,645
기타항구,2023-09-30,관광,남성,61세이상,2180
김포,2023-09-30,관광,남성,61세이상,3609
김해,2023-09-30,관광,남성,61세이상,4403
부산,2023-09-30,관광,남성,61세이상,5002
인천,2023-09-30,관광,남성,61세이상,1150
인천공항,2023-09-30,관광,남성,61세이상,26599
제주공항,2023-09-30,관광,남성,61세이상,1754
제주항,2023-09-30,관광,남성,61세이상,915
기타공항,2023-09-30,관광,여성,20세 이하,594
기타항구,2023-09-30,관광,여성,20세 이하,157
김포,2023-09-30,관광,여성,20세 이하,3974
김해,2023-09-30,관광,여성,20세 이하,2757
부산,2023-09-30,관광,여성,20세 이하,551
인천,2023-09-30,관광,여성,20세 이하,67
인천공항,2023-09-30,관광,여성,20세 이하,36568
제주공항,2023-09-30,관광,여성,20세 이하,2856
제주항,2023-09-30,관광,여성,20세 이하,189
기타공항,2023-09-30,관광,여성,21~30세,1616
기타항구,2023-09-30,관광,여성,21~30세,214
김포,2023-09-30,관광,여성,21~30세,14207
김해,2023-09-30,관광,여성,21~30세,9395
부산,2023-09-30,관광,여성,21~30세,1048
인천,2023-09-30,관광,여성,21~30세,175
인천공항,2023-09-30,관광,여성,21~30세,139337
제주공항,2023-09-30,관광,여성,21~30세,20145
제주항,2023-09-30,관광,여성,21~30세,173
기타공항,2023-09-30,관광,여성,31~40세,1546
기타항구,2023-09-30,관광,여성,31~40세,279
김포,2023-09-30,관광,여성,31~40세,10504
김해,2023-09-30,관광,여성,31~40세,8281
부산,2023-09-30,관광,여성,31~40세,851
인천,2023-09-30,관광,여성,31~40세,340
인천공항,2023-09-30,관광,여성,31~40세,90751
제주공항,2023-09-30,관광,여성,31~40세,11431
제주항,2023-09-30,관광,여성,31~40세,369
기타공항,2023-09-30,관광,여성,41~50세,1255
기타항구,2023-09-30,관광,여성,41~50세,416
김포,2023-09-30,관광,여성,41~50세,6878
김해,2023-09-30,관광,여성,41~50세,6971
부산,2023-09-30,관광,여성,41~50세,1093
인천,2023-09-30,관광,여성,41~50세,459
인천공항,2023-09-30,관광,여성,41~50세,52213
제주공항,2023-09-30,관광,여성,41~50세,3690
제주항,2023-09-30,관광,여성,41~50세,283
기타공항,2023-09-30,관광,여성,51~60세,1056
기타항구,2023-09-30,관광,여성,51~60세,1327
김포,2023-09-30,관광,여성,51~60세,7162
김해,2023-09-30,관광,여성,51~60세,6994
부산,2023-09-30,관광,여성,51~60세,2191
인천,2023-09-30,관광,여성,51~60세,904
인천공항,2023-09-30,관광,여성,51~60세,47697
제주공항,2023-09-30,관광,여성,51~60세,3418
제주항,2023-09-30,관광,여성,51~60세,531
기타공항,2023-09-30,관광,여성,61세이상,1004
기타항구,2023-09-30,관광,여성,61세이상,2363
김포,2023-09-30,관광,여성,61세이상,4262
김해,2023-09-30,관광,여성,61세이상,5506
부산,2023-09-30,관광,여성,61세이상,6634
인천,2023-09-30,관광,여성,61세이상,834
인천공항,2023-09-30,관광,여성,61세이상,34170
제주공항,2023-09-30,관광,여성,61세이상,2303
제주항,2023-09-30,관광,여성,61세이상,1046
기타공항,2023-10-31,관광,남성,20세 이하,374
기타항구,2023-10-31,관광,남성,20세 이하,201
김포,2023-10-31,관광,남성,20세 이하,1279
김해,2023-10-31,관광,남성,20세 이하,2000
부산,2023-10-31,관광,남성,20세 이하,340
인천,2023-10-31,관광,남성,20세 이하,58
인천공항,2023-10-31,관광,남성,20세 이하,19602
제주공항,2023-10-31,관광,남성,20세 이하,1753
제주항,2023-10-31,관광,남성,20세 이하,289
기타공항,2023-10-31,관광,남성,21~30세,650
기타항구,2023-10-31,관광,남성,21~30세,374
김포,2023-10-31,관광,남성,21~30세,4346
김해,2023-10-31,관광,남성,21~30세,5272
부산,2023-10-31,관광,남성,21~30세,746
인천,2023-10-31,관광,남성,21~30세,132
인천공항,2023-10-31,관광,남성,21~30세,53273
제주공항,2023-10-31,관광,남성,21~30세,5702
제주항,2023-10-31,관광,남성,21~30세,210
기타공항,2023-10-31,관광,남성,31~40세,908
기타항구,2023-10-31,관광,남성,31~40세,785
김포,2023-10-31,관광,남성,31~40세,6798
김해,2023-10-31,관광,남성,31~40세,7603
부산,2023-10-31,관광,남성,31~40세,850
인천,2023-10-31,관광,남성,31~40세,384
인천공항,2023-10-31,관광,남성,31~40세,69661
제주공항,2023-10-31,관광,남성,31~40세,5526
제주항,2023-10-31,관광,남성,31~40세,576
기타공항,2023-10-31,관광,남성,41~50세,723
기타항구,2023-10-31,관광,남성,41~50세,932
김포,2023-10-31,관광,남성,41~50세,7012
김해,2023-10-31,관광,남성,41~50세,6804
부산,2023-10-31,관광,남성,41~50세,805
인천,2023-10-31,관광,남성,41~50세,794
인천공항,2023-10-31,관광,남성,41~50세,49513
제주공항,2023-10-31,관광,남성,41~50세,2489
제주항,2023-10-31,관광,남성,41~50세,537
기타공항,2023-10-31,관광,남성,51~60세,601
기타항구,2023-10-31,관광,남성,51~60세,1433
김포,2023-10-31,관광,남성,51~60세,6327
김해,2023-10-31,관광,남성,51~60세,5946
부산,2023-10-31,관광,남성,51~60세,1483
인천,2023-10-31,관광,남성,51~60세,1031
인천공항,2023-10-31,관광,남성,51~60세,40165
제주공항,2023-10-31,관광,남성,51~60세,2075
제주항,2023-10-31,관광,남성,51~60세,609
기타공항,2023-10-31,관광,남성,61세이상,609
기타항구,2023-10-31,관광,남성,61세이상,3837
김포,2023-10-31,관광,남성,61세이상,4601
김해,2023-10-31,관광,남성,61세이상,5546
부산,2023-10-31,관광,남성,61세이상,9747
인천,2023-10-31,관광,남성,61세이상,1467
인천공항,2023-10-31,관광,남성,61세이상,35815
제주공항,2023-10-31,관광,남성,61세이상,1888
제주항,2023-10-31,관광,남성,61세이상,1436
기타공항,2023-10-31,관광,여성,20세 이하,484
기타항구,2023-10-31,관광,여성,20세 이하,202
김포,2023-10-31,관광,여성,20세 이하,2620
김해,2023-10-31,관광,여성,20세 이하,2745
부산,2023-10-31,관광,여성,20세 이하,563
인천,2023-10-31,관광,여성,20세 이하,59
인천공항,2023-10-31,관광,여성,20세 이하,30244
제주공항,2023-10-31,관광,여성,20세 이하,2131
제주항,2023-10-31,관광,여성,20세 이하,273
기타공항,2023-10-31,관광,여성,21~30세,1445
기타항구,2023-10-31,관광,여성,21~30세,286
김포,2023-10-31,관광,여성,21~30세,12783
김해,2023-10-31,관광,여성,21~30세,10082
부산,2023-10-31,관광,여성,21~30세,1166
인천,2023-10-31,관광,여성,21~30세,158
인천공항,2023-10-31,관광,여성,21~30세,139386
제주공항,2023-10-31,관광,여성,21~30세,16258
제주항,2023-10-31,관광,여성,21~30세,305
기타공항,2023-10-31,관광,여성,31~40세,1381
기타항구,2023-10-31,관광,여성,31~40세,621
김포,2023-10-31,관광,여성,31~40세,10569
김해,2023-10-31,관광,여성,31~40세,10053
부산,2023-10-31,관광,여성,31~40세,1047
인천,2023-10-31,관광,여성,31~40세,308
인천공항,2023-10-31,관광,여성,31~40세,106335
제주공항,2023-10-31,관광,여성,31~40세,10764
제주항,2023-10-31,관광,여성,31~40세,819
기타공항,2023-10-31,관광,여성,41~50세,1262
기타항구,2023-10-31,관광,여성,41~50세,916
김포,2023-10-31,관광,여성,41~50세,7269
김해,2023-10-31,관광,여성,41~50세,8493
부산,2023-10-31,관광,여성,41~50세,1254
인천,2023-10-31,관광,여성,41~50세,501
인천공항,2023-10-31,관광,여성,41~50세,65322
제주공항,2023-10-31,관광,여성,41~50세,3695
제주항,2023-10-31,관광,여성,41~50세,873
기타공항,2023-10-31,관광,여성,51~60세,1058
기타항구,2023-10-31,관광,여성,51~60세,2005
김포,2023-10-31,관광,여성,51~60세,7815
김해,2023-10-31,관광,여성,51~60세,8499
부산,2023-10-31,관광,여성,51~60세,2728
인천,2023-10-31,관광,여성,51~60세,1096
인천공항,2023-10-31,관광,여성,51~60세,60530
제주공항,2023-10-31,관광,여성,51~60세,3571
제주항,2023-10-31,관광,여성,51~60세,1066
기타공항,2023-10-31,관광,여성,61세이상,1003
기타항구,2023-10-31,관광,여성,61세이상,3664
김포,2023-10-31,관광,여성,61세이상,5713
김해,2023-10-31,관광,여성,61세이상,7390
부산,2023-10-31,관광,여성,61세이상,12452
인천,2023-10-31,관광,여성,61세이상,1210
인천공항,2023-10-31,관광,여성,61세이상,48902
제주공항,2023-10-31,관광,여성,61세이상,2620
제주항,2023-10-31,관광,여성,61세이상,1938
기타공항,2023-11-30,관광,남성,20세 이하,309
기타항구,2023-11-30,관광,남성,20세 이하,143
김포,2023-11-30,관광,남성,20세 이하,1335
김해,2023-11-30,관광,남성,20세 이하,2139
부산,2023-11-30,관광,남성,20세 이하,367
인천,2023-11-30,관광,남성,20세 이하,39
인천공항,2023-11-30,관광,남성,20세 이하,20290
제주공항,2023-11-30,관광,남성,20세 이하,1317
제주항,2023-11-30,관광,남성,20세 이하,45
기타공항,2023-11-30,관광,남성,21~30세,583
기타항구,2023-11-30,관광,남성,21~30세,260
김포,2023-11-30,관광,남성,21~30세,4642
김해,2023-11-30,관광,남성,21~30세,5442
부산,2023-11-30,관광,남성,21~30세,686
인천,2023-11-30,관광,남성,21~30세,166
인천공항,2023-11-30,관광,남성,21~30세,52783
제주공항,2023-11-30,관광,남성,21~30세,4582
제주항,2023-11-30,관광,남성,21~30세,125
기타공항,2023-11-30,관광,남성,31~40세,703
기타항구,2023-11-30,관광,남성,31~40세,593
김포,2023-11-30,관광,남성,31~40세,6859
김해,2023-11-30,관광,남성,31~40세,6950
부산,2023-11-30,관광,남성,31~40세,729
인천,2023-11-30,관광,남성,31~40세,490
인천공항,2023-11-30,관광,남성,31~40세,62686
제주공항,2023-11-30,관광,남성,31~40세,4591
제주항,2023-11-30,관광,남성,31~40세,204
기타공항,2023-11-30,관광,남성,41~50세,615
기타항구,2023-11-30,관광,남성,41~50세,809
김포,2023-11-30,관광,남성,41~50세,7258
김해,2023-11-30,관광,남성,41~50세,6228
부산,2023-11-30,관광,남성,41~50세,777
인천,2023-11-30,관광,남성,41~50세,797
인천공항,2023-11-30,관광,남성,41~50세,46319
제주공항,2023-11-30,관광,남성,41~50세,2471
제주항,2023-11-30,관광,남성,41~50세,180
기타공항,2023-11-30,관광,남성,51~60세,581
기타항구,2023-11-30,관광,남성,51~60세,1402
김포,2023-11-30,관광,남성,51~60세,6344
김해,2023-11-30,관광,남성,51~60세,5498
부산,2023-11-30,관광,남성,51~60세,1270
인천,2023-11-30,관광,남성,51~60세,1017
인천공항,2023-11-30,관광,남성,51~60세,35748
제주공항,2023-11-30,관광,남성,51~60세,1900
제주항,2023-11-30,관광,남성,51~60세,422
기타공항,2023-11-30,관광,남성,61세이상,725
기타항구,2023-11-30,관광,남성,61세이상,4561
김포,2023-11-30,관광,남성,61세이상,4054
김해,2023-11-30,관광,남성,61세이상,5490
부산,2023-11-30,관광,남성,61세이상,6120
인천,2023-11-30,관광,남성,61세이상,1411
인천공항,2023-11-30,관광,남성,61세이상,26952
제주공항,2023-11-30,관광,남성,61세이상,1935
제주항,2023-11-30,관광,남성,61세이상,1865
기타공항,2023-11-30,관광,여성,20세 이하,416
기타항구,2023-11-30,관광,여성,20세 이하,116
김포,2023-11-30,관광,여성,20세 이하,2714
김해,2023-11-30,관광,여성,20세 이하,2602
부산,2023-11-30,관광,여성,20세 이하,501
인천,2023-11-30,관광,여성,20세 이하,60
인천공항,2023-11-30,관광,여성,20세 이하,32982
제주공항,2023-11-30,관광,여성,20세 이하,1736
제주항,2023-11-30,관광,여성,20세 이하,53
기타공항,2023-11-30,관광,여성,21~30세,1189
기타항구,2023-11-30,관광,여성,21~30세,179
김포,2023-11-30,관광,여성,21~30세,13439
김해,2023-11-30,관광,여성,21~30세,9050
부산,2023-11-30,관광,여성,21~30세,957
인천,2023-11-30,관광,여성,21~30세,329
인천공항,2023-11-30,관광,여성,21~30세,137892
제주공항,2023-11-30,관광,여성,21~30세,12743
제주항,2023-11-30,관광,여성,21~30세,181
기타공항,2023-11-30,관광,여성,31~40세,1204
기타항구,2023-11-30,관광,여성,31~40세,429
김포,2023-11-30,관광,여성,31~40세,11095
김해,2023-11-30,관광,여성,31~40세,8543
부산,2023-11-30,관광,여성,31~40세,860
인천,2023-11-30,관광,여성,31~40세,556
인천공항,2023-11-30,관광,여성,31~40세,98178
제주공항,2023-11-30,관광,여성,31~40세,8973
제주항,2023-11-30,관광,여성,31~40세,233
기타공항,2023-11-30,관광,여성,41~50세,1253
기타항구,2023-11-30,관광,여성,41~50세,689
김포,2023-11-30,관광,여성,41~50세,7963
김해,2023-11-30,관광,여성,41~50세,7728
부산,2023-11-30,관광,여성,41~50세,1116
인천,2023-11-30,관광,여성,41~50세,673
인천공항,2023-11-30,관광,여성,41~50세,62794
제주공항,2023-11-30,관광,여성,41~50세,3569
제주항,2023-11-30,관광,여성,41~50세,262
기타공항,2023-11-30,관광,여성,51~60세,1075
기타항구,2023-11-30,관광,여성,51~60세,2119
김포,2023-11-30,관광,여성,51~60세,8067
김해,2023-11-30,관광,여성,51~60세,8053
부산,2023-11-30,관광,여성,51~60세,2142
인천,2023-11-30,관광,여성,51~60세,1166
인천공항,2023-11-30,관광,여성,51~60세,53950
제주공항,2023-11-30,관광,여성,51~60세,3181
제주항,2023-11-30,관광,여성,51~60세,808
기타공항,2023-11-30,관광,여성,61세이상,1093
기타항구,2023-11-30,관광,여성,61세이상,4114
김포,2023-11-30,관광,여성,61세이상,5144
김해,2023-11-30,관광,여성,61세이상,7142
부산,2023-11-30,관광,여성,61세이상,8305
인천,2023-11-30,관광,여성,61세이상,1103
인천공항,2023-11-30,관광,여성,61세이상,35586
제주공항,2023-11-30,관광,여성,61세이상,2672
제주항,2023-11-30,관광,여성,61세이상,2249
